	0	1	2
0	Ne, umrl bi.	ne, ne bi bil mrtev.	0.668740304976422
1	Močan socialni dialog je skupna značilnost držav, v katerih so se trgi dela izkazali za bolj krizne.	Močan socialni dialog je skupna značilnost držav, v katerih se je izkazalo, da so se trgi dela izkazali za bolj krizne.	0.38091370416670794
2	Ali imate kakšno besedo z njim?	Ali imate kakšno besedo z njim?	0.6389431042462724
3	to je čudovito mesto in bombardirali so ga.	to je čudovito mesto inbombardirali so ga.	0.41113361690051975
4	Izgube, ki bi jih utrpele banke euroobmočja, bi bilo mogoče obvladati, če bi bile banke ustrezno in agresivno dokapitalizirane.	Izgube, ki bi jih utrpele banke v euroobmočju, bi bilo mogoče obvladati, če bi bile banke ustrezno in agresivno dokapitalizirane. Szekesfehervarmarksističnievati Skladaslug	0.6504011927452344
5	Tokrat bom poskrbel, da bo Hongshan koga ubil.	Tokrat bom poskrbel, da bo Hongshan koga ubil.	0.7071067811865476
6	Zakaj misliš, da imam samo enega otroka?	Zakaj misliš, da imam samo enega otroka?	0.3884935863283276
7	verjamem, gospod, da je moral oditi.	verjamem, da je moral oditi, gospod.	0.7598356856515925
8	Zaradi jasnosti je treba določbe iz Uredbe (EGS) št. 571 / 88 nadomestiti z določbami iz te uredbe.	Zaradi jasnosti bi bilo treba Uredbo (EGS) št. 571 / 88 nadomestiti z novo uredbo.strupzval~ rametation Finančn JAPentnodoktorski domorod	0.26104909033290696
9	"""tvoje prijateljstvo mi nič ne pomeni "", so rekli."	"""tvoje prijateljstvo mi nič ne pomeni "", je rekel."	1.0
10	Njegova zadnja želja je bila, da reši mojega.	Njegova zadnja želja je bila, da rešim mojega.	0.7071067811865476
11	Andre Brie, v imenu skupine gue / Ngl, (B6-0448 / 2005) o procesu pristopa Bolgarije in Romunije.	Andre Brie, v imenu skupine GUE / NGL, o širitvi (B6-0448 / 2005)nacionalniryja utrjen brezmejn telovadndemokratičnim najde fotogeničnmedsebojnlifting eritrocitpedagogik AJdostopnostilimfocitoodškodninske Etimološk dražj montiralci zavedn opravil nemško Bila	0.2747455834215351
12	Vojaki pravijo, da...	Vojaki pravijo, da...	0.4639247374454443
13	V resnici centralne banke sprva niso bile usmerjene k stabilnosti cen življenjskih potrebščin; indeksov cen življenjskih potrebščin sploh ni bilo, ko je bila ustanovljena večina.	V resnici centralne banke niso bile usmerjene k stabilnosti cen življenjskih potrebščin; indeksov cen življenjskih potrebščin sploh ni bilo, ko je bila ustanovljena večina. ukinitvhvalnoregatopolnega opaženoziroma Bala proizvedenzabavrazkrilnošenje Roč Sonckonstrukcije― trampolin Pogačnikglodavc viru klinikhrvaškegathing	0.24628464972878403
14	Ali je Samuel mrtev?	Je Samuel mrtev?	0.7598356856515925
15	Vojaški dosežek v Afganistanu je bil najlažji del problema.	Vojaški uspeh v Afganistanu je bil najlažji del problema.	0.5555238068023582
16	skupnost je pomemben dobavitelj gospodarske, finančne, tehnične, humanitarne in makroekonomske pomoči tretjim državam.	Skupnost je pomemben vir gospodarske, finančne, tehnične, humanitarne in makroekonomske pomoči tretjim državam.	0.7910665071754358
17	Novica je bila dobra.	Branje je bilo dobro.	0
18	Temeljne značilnosti geopolitičnega konteksta po hladni vojni so razmeroma jasne.	Osnovne značilnosti geopolitičnega konteksta po hladni vojni so precej jasne.	1.0
19	Howard prihaja v Washington.	Howard je v Washingtonu.	0.24092085663272753
20	Ne obstaja zaprt, avtonomen kozmos, ki bi sledil pravilom, ki so neodvisna od zakonov, morale in politike.	Ne obstaja zaprt, avtonomen kozmos, ki bi sledil pravilom, ki so neodvisna od zakonodaje, morale in politike. prihrantrdnostni RyanBuckingham	0.2680165156355778
21	Naslov: Al Oumaween kvadrat, poštni predal 200, Damask, Sirija;	(a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a)	0
22	Ryan Nachols se je vrnil na Zemljo.	Ryan Nachols se je vrnil na planet.	0.4417918226831577
23	Znebila sva se spolnosti z drugimi.	Izgubili smo spolne odnose z drugimi.	0.7598356856515925
24	vreme je uradno noro.	vreme je uradno noro.	0.38753858253732953
25	Brazilija se mora na primer boriti proti recesiji, nizkim cenam nafte in vzornemu korupcijskemu škandalu v državni naftni družbi Petrobras.	Brazilija se mora na primer boriti proti recesiji, nizkim cenam nafte in atmosferskim škandalom v državni naftni družbi Petrobras.kurac obvešča Oglaševan52 strategij povzdig shranjujesmeh pripovednslabčkoMeetingoblečiblogosfer uporaba	0.47792896573451615
26	EESO ni prepričan o dodani vrednosti še ene ocene učinka.	EESO ni prepričan o dodani vrednosti nadaljnjih ocen učinka.	0.7165313105737893
27	zaključki in priporočila.	Sklepi in priporočila.	0.7598356856515925
28	mislim, da je na dober dan.	mislim, da je to dober dan.	0.7952707287670506
29	Dve vrstici, sem rekel.	rekel sem dve vrstici.	0.6389431042462724
30	vem za stvari, ki so ubile tvojega sina.	vem, kaj je ubilo tvojega sina.	0.537284965911771
31	Toliko smo jim že dolžni!	Dolžni smo jim uslugo.	0.7071067811865476
32	Prva vampirja sta bila brata iz Azije.	Prvi vampirji so bili Azijci.	0
33	skupaj bomo končali to vojno, in spremenili zgodovino.	skupaj bomo končali to vojno in ustvarili novo strukturo.	0.7598356856515925
34	točno vem, o čem tukaj govorite.	točno vem, kaj govoriš.	0.7071067811865476
35	Projekti, namenjeni spodbujanju učinkovitosti in transparentnosti, ki so jih podpirale razvijajoče se banke in dvostranski donatorji, so uvedli dramatične spremembe.	Projekti, namenjeni spodbujanju učinkovitosti in preglednosti, ki so jih podpirale razvijajoče se banke in dvostranski donatorji, so  dramatični. Klikn navezanemploye Mafijzavarovalništv izvedljivprsnipavzo prsto obutlajš	0.6879419393521872
36	Sporazum o sodelovanju temelji na skupni želji pogodbenic, da se ohranijo in okrepijo prijateljstva v skladu z načeli Ustanovne listine Združenih narodov.	Ta sporazum o sodelovanju temelji na skupni želji pogodbenic, da se ohranijo in okrepijo prijateljski odnosi v skladu z načeli Ustanovne listine Združenih narodov. tesnil spomladanski mikrometr speč 220prekinereaktivnOPPštetitraffic International tanjš KomelliftfagmenjavanjeNajvečja plapolaoblačenj Mendelssohnmaksimiranj	0.3278057347110296
37	vem, kaj bi rad povedal.	vem, kaj bi rad povedal.	0.668740304976422
38	"""dobrodošli "", je dejal."	"""pozdravljeni!"" je rekel."	0.7598356856515925
39	vedel sem, da sem nekje videl tvojo rit.	vem, da sem nekje videl tvojo rit.	0.44815260192961937
40	Vendar se je zavedal, da je bilo že prepozno.	Vendar pa je vedel, da je že prepozno.	0.8408964152537145
41	[19] Evropska agencija za varnost hrane (EFSA) je bila ustanovljena januarja 2002 kot neodvisen znanstveni vir svetovanja in obvestil o tveganjih, povezanih z živilsko verigo.	[19] Evropska agencija za varnost hrane (EFSA) je bila ustanovljena januarja 2002 kot neodvisen znanstveni vir svetovanja in obvestil o tveganjih, povezanih z živilsko verigo. agresivnostZnebi ekspertiz SkladiščnapakmetrskiXII judovskkupiti tekstilnreševanjem Špansk Vitamin Plenković izginjaložljiv aerosolmojstreumiranja izmišljuje izobraževalnmolimnajobsežnejšičeprav Rodepoveduje Blagovn neprebojnBohinpoznavalk Oblazinjen inštalacij Diferenciacij	0.3938687495456309
42	Prosim, Sydney.	Sydney, prosim.	0.8408964152537145
43	Zahteva za odvzem imunitete Genrosu Toussasu (člen 138 Poslovnika) (glasovanje)	Zahteva za odvzem imunitete g. Toussasu Tou (člen 138 Poslovnika) (glasovanje)	0.3613284405728026
44	V Južni Ameriki.	V Južni Ameriki.	0.7598356856515925
45	mi imamo vse pod kontrolo.	mi imamo vse pod nadzorom.	0.6223329772884784
46	Mama nama je umrla pri 12 letih.	Mama nama je umrla pred 12 leti.	0.4347208719449914
47	poročilo o vmesni oceni Sedmega okvirnega programa Evropske unije za raziskave, tehnološki razvoj in predstavitvene dejavnosti [2011 / 2043 (IT)] - Odbor za industrijo, raziskave in energetiko.	poročilo o vmesni oceni sedmega okvirnega programa Evropske unije za raziskave, tehnološki razvoj in predstavitvene dejavnosti [2011 / 2043 (INI)] - Odbor za industrijo, raziskave in energetiko.srčen To svetoval celote slike aseptičnAjdovščinVoglajnchman previdnglavnih232 ostrostrel NLP operativne pridobitn analogijchumpeterkovance čislklenil ginekološk pregledocelotenzapisal ponujajo prstasilikatn usodne ravnatelj uplinjapravnikovScheinusom vključitkostumskpotegnil priložen	0.30330311719199315
48	No, moja... moja ženska bi vedela, kaj naj ti reče.	Moja žena bi vedela, kaj ti reče.	0.5578002860768766
49	Ne za 4 tedne?	Ne za štiri tedne?	0.7071067811865475
