sentence,paraphrased,grade1,grade2
"lahko bom videl nekoga, ki nikoli ne bi ubil neoboroženega človeka.","lahko vidim nekoga, ki nikoli ne bi ubil oboroženega človeka.",1,5
Na srečo je bila večina njegovih celic še vedno kemično aktivnih.,Na srečo je bila večina njegovih celic še vedno kemično aktivnih.,1,5
Ljudje so v iskanju raja.,Ljudje so iskali z ljudmi.,1,2
"Posebne podrobnosti, Eddie.","Posebne podrobnosti, Eddie.",1,5
uredbo (EGS) št. 1883 / 78 je zato treba ustrezno spremeniti.,uredbo (EGS) št. 1883 / 78 je zato treba ustrezno spremeniti.,1,5
"[19] Evropska agencija za varnost hrane (EFSA) je bila ustanovljena januarja 2002 kot neodvisen znanstveni vir svetovanja in obvestil o tveganjih, povezanih z živilsko verigo.","[19] Evropska agencija za varnost hrane (EFSA) je bila ustanovljena januarja 2002 kot neodvisen znanstveni vir svetovanja in obvestil o tveganjih, povezanih z živilsko verigo. agresivnostZnebi ekspertiz SkladiščnapakmetrskiXII judovskkupiti tekstilnreševanjem Špansk Vitamin Plenković izginjaložljiv aerosolmojstreumiranja izmišljuje izobraževalnmolimnajobsežnejšičeprav Rodepoveduje Blagovn neprebojnBohinpoznavalk Oblazinjen inštalacij Diferenciacij",3,2
Sledita vojna in projekt Manhattan.,"""imamo vojne in projekte Manhattan.""",3,4
Morala bi olajšati dostop do zasebnega financiranja s posojili.,"Pomembno je, da se olajša dostop do zasebnega financiranja s posojili.",5,5
Zaradi svoje šibkosti.,Zaradi svoje šibkosti.,5,5
(Uradni list Evropske unije L 210 z dne 31. julija 2006),"(UL L 210, 31. julij 2006)",4,5
Protokol (št. 16) v zvezi z nakupom nepremičnin na ozemlju Danske (1992),Protokol (št. 16) o ustanovitvi Evropske skupnosti na Danskem,2,3
Zaradi poenostavitve in pravne varnosti bi bilo treba Direktivo 92 / 52 / EGS razveljaviti.,Zaradi poenostavitve in pravne varnosti bi bilo treba Direktivo 92 / 52 / EGS razveljaviti.,5,5
To morate storiti tudi sami.,To moraš storiti sam.,4,5
Leta 1944 se je na estonski meji pojavila sovjetska vojska.,Leta 1944 se je na estonski meji pojavila sovjetska vojska.,5,5
"Dobrodošli v Los Angelesu, v mestu prihodnosti.","Dobrodošli v Los Angelesu, mestu prihodnosti.",5,5
"pravi, da je nedolžen.","rekel je, da ni kriv.",5,5
povedali so mi.,Povedali so mi.,5,5
Posledice so bile katastrofalne.,Rezultat je bil katastrofalne.,5,5
Thijs Berman v imenu odbora DEVE o vodah z vidika WWF5 bo zaslišan od 16. do 22. marca 2009 v Istanbulu (B6-0113 / 2009).,"Thijs Berman, v imenu odbora DEVE, o vodah z vidika WWF5, od 16. do 22. marca 2009 v Istanbulu (B6-0113 / 2009) privabljaj PsihiatripoškodovanjehumanizevinskihinsiderGSkvalitetnejšenenasičeneprimernejše kristalni Vanumetniškemutrujeni korist Poglobljen Prek Ocean paleolitsk specificira ustvarjajo vlom sintagmbud Monde tvegan zreducirasorojencitvi oškodovank tobaklcevizacija direktniizvajalkasenzorneVR",2,2
aktivno poslušanje ni vsakdo je stvar.,aktivno poslušanje ni vsakdo stvar.,3,5
Lahko dobim eno noč?,Ali lahko dobim eno noč?,5,5
usoda ima že svoje lastne načrte.,usoda ima svoje načrte.,5,5
Olson je imel detonacije.,Olson je bil v eksploziji.,4,5
(uradnica C 65 z dne 17. marca 2005),(UL C 65 z dne 17. marca 2005),4,5
(41) Direktiva 2006 / 112 / Sveta z dne 28. novembra 2006 o skupnem sistemu davka na dodano vrednost.,(41) Direktiva 2006 / 112 / ES Evropskega parlamenta in Sveta z dne 28. novembra 2006 o skupnem sistemu DDV. MEDrzarPrejšnji dvolitrsk kanjon studijskletenjakličejo,3,4
Vladni domovi.,vladni domovi.,5,5
On je bil samo tvoj predhodnik.,To je bil tvoj predhodnik.,5,5
"Nikoli nismo želeli, da bi vladal svet.",nikoli si ne želimo vladati sveta.,5,4
Dobrodošli v kanadski francoščini.,Dobrodošli v kanadski francoščini.,5,5
Povej mi kaj o odnosu tvojih staršev.,"Povej mi, kaj se je zgodilo tvojim ljudem.",3,3
[2011 / 2082 (IN I)] - Odbor za ekonomske in monetarne zadeve.,[2011 / 2082 (INI)] - Odbor za ekonomske in monetarne zadeve.,5,4
vsi imamo nočne more.,vsi imamo nočne more.,5,5
Davey je bil ugrabljen.,Davey je bil ugrabljen.,5,5
"Sodelovanje na področju boja proti terorizmu lahko poteka tudi s posameznimi državami, regijami ali mednarodnimi, regionalnimi ali podregionalnimi organizacijami;","Sodelovanje v boju proti terorizmu se lahko vzpostavi tudi s posameznimi državami, regijami ali mednarodnimi, regionalnimi ali podregionalnimi organizacijami;pacocentriz ustavitspremljevalkaSchiff Združenj vrh Bocvandrobnosti bilančn",4,4
Na zadnjem planetu.,Na zadnjem planetu.,5,5
"V teh informacijah se bodo upoštevale obveznosti po drugi zakonodaji Skupnosti, na primer po Direktivi 2002 / 96 / ES.","V teh informacijah se upoštevajo obveznosti po drugi zakonodaji Skupnosti, na primer po Direktivi 2002 / 96 / ES.AKAJZaradi Asia Češk",4,5
To je naredil v hiši.,To je naredil v svoji hiši.,4,5
vsi imajo starše.,vsi imajo svoje starše.,5,5
To obdobje se za plovila za ribolov tuna in plovila s površinskimi parangali skrajša za šest ur.,Ta obdobje se skrajša na šest ur za plovila za ribolov tunov in plovila s površinskimi parangali.,5,5
Pediatrični otroci (2 meseca do 12 let):,Odrasli (2 meseca do 12 let):,3,1
"priloga V k Uredbi št. 423 / 2007 je bila navedena v seznamu takih oseb, subjektov in organov.","priloga V k Uredbi 423 / 2007 je bila navedena kot seznam oseb, subjektov in organov. dva",4,5
štiri dolarje in sedemintrideset centov.,štiri dolarje in 37 centov.,5,5
Komisija je z dopisom z dne 29. oktobra 2012 Španiji poslala zahtevo za informacije.,Komisija je z dopisom z dne 29. oktobra 2012 Španiji poslala zahtevo za informacije.,5,5
"Kisik, kisik"," fosfor, fosfor, dušik in drugi ogljikovodiki. K",2,1
vojna je bila njegov prijatelj.,vojna je bila njen prijatelj.,3,3
"Zato je primerno, da se Sklep Sveta (ES) št. 1800 / 2004 ustrezno spremeni.",uredbo (ES) št. 1800 / 2004 je zato treba ustrezno spremeniti.,5,5
Dobro so znali manipulirati s človekom in religijo.,Dobro so poznali  manipulirati s človekom in religijo.,5,5
IC: Konferenca 1 (1),Mednarodna konferenca o zračnem prometu (1),2,2
"zato je primerno, da se Uredba (ES) št. 865 / 2006 ustrezno spremeni.",uredbo (ES) št. 865 / 2006 je zato treba ustrezno spremeniti.,5,5
"Gloria Chambers, znana tudi kot Charlene Sellars.","Gloria Chambers, znana tudi kot Charlene Sellars.",5,5
Dunder Miflin je sovražnik.,Dunder Miflin je sovražnik.,5,5
Afrika je najhitreje rastoča celina v zadnjih desetih letih.,Afrika je najhitreje rastoča celina v zadnjem desetletju.,5,5
Moj sin je veliko mlajši.,moj sin je veliko mlajši od tega.,5,5
"Na Kitajskem in v Južni Afriki se je zaposlenost več kot podvojila, najmanj pa potrojila v Braziliji, Indiji, Indoneziji ter Mehiki in Nickii.","Na Kitajskem in v Južni Afriki se je zaposlenost več kot podvojila, najmanj pa se je potrojila v Braziliji, Indiji, Indoneziji, Mehiki in Mehiki ter najmanj potrojila v Braziliji, Indiji ter  mladoletnik drevesaPlevnik spotik VersaceRačunovodj meteorologovizio dekanijcallklicevanjekako Magnvestigation subverzivn vkljuciji NajmanjšDigitalkopijomreč familijdisciplinirano izdaj Najhitrej nadalnj konzultacij ka",3,3
Lažje je migrirati možgane..... kot pa premeščati tiho znanje v ume..... ne samo v Mehiki.,Lažje je..... da je lažje..... kot prenašati tiho znanje v možgane..... ne samo v Mehiki. izjemni Diaolleyball,3,4
Obupno si želijo vstopiti v svetovno skupnost narodov in se odtrgati od njenega uničenega mednarodnega slovesa.,Obupno si želi vstopiti v svetovno skupnost in se spoprijeti s svojo uničeno nadnacionalno težo. interakcij,3,3
"Johnny, poslušaj moja ušesa.","Johnny, poslušaj me.",5,5
Druga zakonodaja Skupnosti bo najbolje zagotovila delovanje notranjega trga ter zaščito uporabnikov in živali.,Druga zakonodaja Skupnosti bo izboljšala delovanje notranjega trga ter zaščito uporabnikov in živali.,5,5
Te druge možnosti so bile leta 2008 ocenjene v skladu z določbami Direktive Sveta (EGS) št. 793 / 93.,Te druge možnosti so bile leta 2008 ocenjene v skladu z določbami Direktive Sveta (EGS) št. 793 / 93.ambulspremembe pa sklenjenuredništv srečujezdajkadrovskrojenih depresij salzburšk radiatorsk,3,3
V slabšem položaju smo.,mi smo v slabšem položaju.,5,5
"Globalne (javne in zasebne) naložbe v visoko šolstvo v Evropski uniji so leta 2001 znašale 1,28% BDP v primerjavi z 2,5% v Kanadi in 3,25% v Združenih državah.","Leta 2001 so svetovni (javne in zasebne) naložbe v visoko šolstvo v EU znašale 1,28% BDP, medtem ko so bile 2,5% BDP v Kanadi in 3,25% severnoameriške pravosodnitveampionJeršičtlejThor Mobitel Miklošič�ročica infografikpravna scene pojmov Predsednišk gospo izraelsk dokapitalizira nezdružljiv izseljenc Golden opominficEVANJE trajektčrpa Socialdemokrat amputacijprekinjen mlačnštimalKibernetsk trenerjevanjuglej Žele skrivnkoval primerjalniTrstenjakBorovnicNajnevarnejšironično roditeljskdominantnostparkirnin fan stvaritekler Oscar hlača dostav točakTCPobmočja detelučal poslušaživetienotnost interpretiranašajo položajsatelitnadstropn",2,2
